fraudulent,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer,transactionAmount,transactionFailed,orderAmount,orderState,emailDomain,emailProvider,customerIPAddressSimplified,sameCity
False,True,card,JCB 16 digit,Citizens First Banks,18,False,18.0,pending,com,yahoo,only_numeric_digits,yes
True,True,bitcoin,VISA 16 digit,Solace Banks,26,False,26.0,fulfilled,com,yahoo,only_numeric_digits,no
False,False,card,VISA 16 digit,Vertex Bancorp,45,False,45.0,fulfilled,com,yahoo,digits_and_letters,no
False,False,card,Diners Club / Carte Blanche,His Majesty Bank Corp.,23,False,23.0,fulfilled,com,yahoo,digits_and_letters,no
True,False,card,Mastercard,Vertex Bancorp,43,True,43.0,fulfilled,com,other,only_numeric_digits,no
True,False,bitcoin,American Express,Bastion Banks,33,False,33.0,failed,com,other,only_numeric_digits,no
True,False,card,Maestro,Her Majesty Trust,24,True,24.0,fulfilled,com,other,only_numeric_digits,no
True,False,card,JCB 16 digit,Fountain Financial Inc.,24,False,25.0,fulfilled,com,gmail,only_numeric_digits,no
False,False,card,JCB 16 digit,Bastion Banks,25,True,34.0,fulfilled,com,other,digits_and_letters,unknown
True,False,card,Discover,His Majesty Bank Corp.,25,False,26.0,fulfilled,info,other,only_numeric_digits,no
True,False,card,Voyager,Grand Credit Corporation,34,False,25.0,fulfilled,com,yahoo,only_numeric_digits,no
False,False,apple pay,American Express,Grand Credit Corporation,26,False,71.0,fulfilled,com,hotmail,only_numeric_digits,no
False,False,apple pay,JCB 16 digit,His Majesty Bank Corp.,25,False,66.0,fulfilled,org,other,digits_and_letters,no
False,False,apple pay,VISA 16 digit,His Majesty Bank Corp.,71,False,69.0,failed,com,other,only_numeric_digits,no
False,False,card,JCB 16 digit,Bastion Banks,66,True,46.0,fulfilled,info,other,digits_and_letters,no
True,False,card,VISA 13 digit,Grand Credit Corporation,69,False,68.0,fulfilled,com,gmail,only_numeric_digits,no
False,False,card,JCB 16 digit,Solace Banks,46,True,59.0,fulfilled,com,yahoo,only_numeric_digits,no
False,False,paypal,JCB 15 digit,B,68,False,32.0,fulfilled,com,other,only_numeric_digits,no
False,False,card,VISA 16 digit,p,59,False,25.0,pending,com,hotmail,digits_and_letters,no
False,False,apple pay,VISA 13 digit,x,32,False,40.0,fulfilled,biz,other,only_numeric_digits,no
False,False,card,JCB 16 digit,e,25,False,65.0,fulfilled,net,other,only_numeric_digits,no
False,False,card,VISA 16 digit,Her Majesty Trust,40,True,36.0,failed,com,other,only_numeric_digits,no
False,False,bitcoin,Voyager,Bulwark Trust Corp.,40,False,68.0,fulfilled,com,hotmail,only_numeric_digits,no
True,False,card,Discover,Her Majesty Trust,65,True,74.0,fulfilled,com,hotmail,only_numeric_digits,no
False,False,paypal,Mastercard,His Majesty Bank Corp.,65,False,55.0,fulfilled,com,yahoo,digits_and_letters,no
False,False,card,Discover,c,36,False,25.0,fulfilled,biz,other,only_numeric_digits,unknown
False,False,card,American Express,Bastion Banks,68,False,21.0,pending,com,gmail,only_numeric_digits,unknown
False,False,bitcoin,Maestro,Vertex Bancorp,74,True,40.0,fulfilled,com,other,digits_and_letters,unknown
False,False,card,VISA 13 digit,Her Majesty Trust,55,False,18.0,pending,com,yahoo,only_numeric_digits,no
True,False,card,Discover,Vertex Bancorp,25,False,46.0,failed,com,gmail,digits_and_letters,no
False,False,bitcoin,VISA 16 digit,Citizens First Banks,21,True,12.0,fulfilled,com,hotmail,digits_and_letters,no
False,False,card,VISA 16 digit,Vertex Bancorp,21,True,11.0,fulfilled,com,hotmail,only_numeric_digits,no
True,False,card,VISA 16 digit,Her Majesty Trust,21,True,12.0,fulfilled,weird,weird,digits_and_letters,no
False,False,card,Mastercard,Her Majesty Trust,21,False,30.0,fulfilled,com,hotmail,only_numeric_digits,no
False,False,paypal,JCB 16 digit,Her Majesty Trust,40,True,49.0,fulfilled,com,other,digits_and_letters,no
False,False,card,VISA 16 digit,Solace Banks,40,False,45.0,fulfilled,com,yahoo,digits_and_letters,no
False,False,apple pay,VISA 16 digit,a,18,False,28.0,fulfilled,org,other,only_numeric_digits,no
False,False,bitcoin,JCB 16 digit,Solace Banks,46,False,10.0,fulfilled,com,hotmail,digits_and_letters,unknown
False,False,card,JCB 16 digit,Bastion Banks,12,False,45.0,pending,com,other,digits_and_letters,no
False,False,card,VISA 16 digit,Her Majesty Trust,11,True,46.0,fulfilled,com,other,only_numeric_digits,no
True,False,card,Voyager,Fountain Financial Inc.,12,False,16.0,fulfilled,com,gmail,digits_and_letters,no
False,False,card,Voyager,His Majesty Bank Corp.,30,False,43.0,fulfilled,com,other,only_numeric_digits,unknown
False,False,card,JCB 16 digit,Her Majesty Trust,49,True,34.0,fulfilled,com,other,only_numeric_digits,unknown
False,False,card,VISA 16 digit,Rose Bancshares,49,False,19.0,failed,com,gmail,only_numeric_digits,no
False,False,paypal,JCB 16 digit,Rose Bancshares,45,True,46.0,fulfilled,org,other,only_numeric_digits,no
True,False,apple pay,Mastercard,His Majesty Bank Corp.,28,True,39.0,fulfilled,com,gmail,only_numeric_digits,no
True,False,card,American Express,Citizens First Banks,28,False,35.0,fulfilled,biz,other,only_numeric_digits,no
False,True,bitcoin,Diners Club / Carte Blanche,Rose Bancshares,10,False,46.0,failed,com,yahoo,only_numeric_digits,no
False,False,paypal,VISA 13 digit, ,45,False,50.0,fulfilled,com,gmail,digits_and_letters,no
False,False,card,VISA 16 digit,His Majesty Bank Corp.,46,False,41.0,fulfilled,biz,other,only_numeric_digits,no
True,True,card,American Express,Vertex Bancorp,16,False,44.0,fulfilled,com,gmail,only_numeric_digits,no
False,False,card,VISA 16 digit,Grand Credit Corporation,43,True,41.0,fulfilled,com,yahoo,digits_and_letters,no
False,False,paypal,Maestro,Solace Banks,43,False,12.0,fulfilled,com,yahoo,digits_and_letters,no
False,False,card,Maestro,Vertex Bancorp,34,True,33.0,fulfilled,com,other,only_numeric_digits,no
False,True,card,Maestro,Bulwark Trust Corp.,34,False,40.0,fulfilled,com,gmail,digits_and_letters,no
True,False,card,VISA 16 digit,Vertex Bancorp,19,False,34.0,pending,com,yahoo,only_numeric_digits,no
False,False,card,Voyager,Vertex Bancorp,46,False,12.0,fulfilled,biz,other,digits_and_letters,no
True,False,bitcoin,JCB 16 digit,Her Majesty Trust,39,False,30.0,fulfilled,com,gmail,only_numeric_digits,no
False,False,card,Maestro,Vertex Bancorp,35,False,22.0,fulfilled,com,gmail,digits_and_letters,no
False,False,card,Diners Club / Carte Blanche,Bulwark Trust Corp.,46,False,11.0,fulfilled,com,hotmail,only_numeric_digits,no
True,False,card,JCB 16 digit,Fountain Financial Inc.,50,False,14.0,fulfilled,com,other,only_numeric_digits,no
False,False,bitcoin,VISA 13 digit,Grand Credit Corporation,41,False,37.0,fulfilled,com,yahoo,digits_and_letters,no
True,False,card,VISA 16 digit,Fountain Financial Inc.,44,False,42.0,fulfilled,weird,weird,digits_and_letters,no
False,False,card,Maestro,His Majesty Bank Corp.,41,False,11.0,fulfilled,com,yahoo,only_numeric_digits,no
True,False,card,VISA 16 digit,Citizens First Banks,12,True,29.0,fulfilled,com,gmail,digits_and_letters,no
True,False,card,Voyager,Bastion Banks,12,False,31.0,fulfilled,com,gmail,digits_and_letters,no
False,False,paypal,JCB 15 digit,Solace Banks,33,True,33.0,failed,com,other,only_numeric_digits,no
False,False,card,JCB 15 digit,Fountain Financial Inc.,33,True,47.0,fulfilled,net,other,only_numeric_digits,unknown
True,False,card,Maestro,Bastion Banks,33,False,25.0,fulfilled,com,other,digits_and_letters,no
False,False,card,VISA 16 digit,Rose Bancshares,40,False,25.0,fulfilled,info,other,digits_and_letters,no
